Date,Open,High,Low,Close,Adj Close ,Volume,PE_Ratio,Revenue
6-Sep-24,108.04,108.15,100.95,102.83,102.83,411712100.00,48.25,30040.00
5-Sep-24,104.99,109.65,104.76,107.21,107.21,306850700.00,72.20,30040.00
4-Sep-24,105.41,113.27,104.12,106.21,106.21,372470300.00,72.20,30040.00
3-Sep-24,116.01,116.21,107.29,108.00,108.00,477155100.00,72.20,30040.00
30-Aug-24,119.53,121.75,117.22,119.37,119.37,333751600.00,72.20,30040.00
29-Aug-24,121.36,124.43,116.71,117.59,117.59,453023300.00,72.20,30040.00
28-Aug-24,128.12,128.33,122.64,125.61,125.61,448101100.00,72.20,30040.00
27-Aug-24,125.05,129.20,123.88,128.30,128.30,303134600.00,72.20,30040.00
26-Aug-24,129.57,131.26,124.37,126.46,126.46,331964700.00,72.20,30040.00
23-Aug-24,125.86,129.60,125.22,129.37,129.37,323230300.00,72.20,30040.00
22-Aug-24,130.02,130.75,123.10,123.74,123.74,376189100.00,72.20,30040.00
21-Aug-24,127.32,129.35,126.66,128.50,128.50,257883600.00,72.20,30040.00
20-Aug-24,128.40,129.88,125.89,127.25,127.25,300087400.00,72.20,30040.00
19-Aug-24,124.28,130.00,123.42,130.00,130.00,318333600.00,72.20,30040.00
16-Aug-24,121.94,125.00,121.18,124.58,124.58,302589900.00,72.20,30040.00
15-Aug-24,118.76,123.24,117.47,122.86,122.86,318086700.00,72.20,30040.00
14-Aug-24,118.53,118.60,114.07,118.08,118.08,339246400.00,72.20,30040.00
13-Aug-24,112.44,116.23,111.58,116.14,116.14,312646700.00,72.20,30040.00
12-Aug-24,106.32,111.07,106.26,109.02,109.02,325559900.00,72.20,30040.00
9-Aug-24,105.64,106.60,103.43,104.75,104.75,290844200.00,72.20,30040.00
8-Aug-24,102.00,105.50,97.52,104.97,104.97,391910000.00,72.20,30040.00
7-Aug-24,107.81,108.80,98.69,98.91,98.91,411440400.00,72.20,30040.00
6-Aug-24,103.84,107.71,100.55,104.25,104.25,409012100.00,72.20,30040.00
5-Aug-24,92.06,103.41,90.69,100.45,100.45,552842400.00,72.20,30040.00
2-Aug-24,103.76,108.72,101.37,107.27,107.27,482027500.00,72.20,30040.00
1-Aug-24,117.53,120.16,106.81,109.21,109.21,523462300.00,72.20,30040.00
31-Jul-24,112.90,118.34,110.88,117.02,117.02,473174200.00,72.20,30040.00
30-Jul-24,111.52,111.99,102.54,103.73,103.73,486833300.00,72.20,30040.00
29-Jul-24,113.69,116.28,111.30,111.59,111.59,248152100.00,72.20,30040.00
26-Jul-24,116.19,116.20,111.58,113.06,113.06,293399100.00,72.20,30040.00
25-Jul-24,113.04,116.63,106.30,112.28,112.28,460067000.00,72.20,30040.00
24-Jul-24,119.17,119.95,113.44,114.25,114.25,327776900.00,72.20,30040.00
23-Jul-24,122.78,124.69,122.10,122.59,122.59,173911000.00,72.20,30040.00
22-Jul-24,120.35,124.07,119.86,123.54,123.54,258068900.00,72.20,30040.00
19-Jul-24,120.35,121.60,117.37,117.93,117.93,217223800.00,72.20,30040.00
18-Jul-24,121.85,122.40,116.56,121.09,121.09,320979500.00,72.20,30040.00
17-Jul-24,121.35,121.85,116.72,117.99,117.99,390086200.00,72.20,30040.00
16-Jul-24,128.44,129.04,124.58,126.36,126.36,214769500.00,72.20,30040.00
15-Jul-24,130.56,131.39,127.18,128.44,128.44,208326200.00,72.20,30040.00
12-Jul-24,128.26,131.92,127.22,129.24,129.24,252680500.00,72.20,30040.00
11-Jul-24,135.75,136.15,127.05,127.40,127.40,374782700.00,72.20,30040.00
10-Jul-24,134.03,135.10,132.42,134.91,134.91,248978600.00,72.20,30040.00
9-Jul-24,130.35,133.82,128.65,131.38,131.38,285366600.00,72.20,30040.00
8-Jul-24,127.49,130.77,127.04,128.20,128.20,237677300.00,72.20,30040.00
5-Jul-24,127.38,128.85,125.68,125.83,125.83,214176700.00,72.20,30040.00
3-Jul-24,121.66,128.28,121.36,128.28,128.28,215749000.00,72.20,30040.00
2-Jul-24,121.13,123.41,121.03,122.67,122.67,218374000.00,72.20,30040.00
1-Jul-24,123.47,124.84,118.83,124.30,124.30,284885500.00,72.20,30040.00
28-Jun-24,124.58,127.71,122.75,123.54,123.54,315516700.00,72.20,30040.00
27-Jun-24,124.10,126.41,122.92,123.99,123.99,252571700.00,72.20,30040.00
26-Jun-24,126.13,128.12,122.60,126.40,126.40,362975900.00,75.61,30040.00
25-Jun-24,121.20,126.50,119.32,126.09,126.09,425787500.00,75.61,30040.00
24-Jun-24,123.24,124.46,118.04,118.11,118.11,476060900.00,75.61,30040.00
21-Jun-24,127.12,130.63,124.30,126.57,126.57,655484700.00,75.61,30040.00
20-Jun-24,139.80,140.76,129.52,130.78,130.78,517768400.00,75.61,30040.00
18-Jun-24,131.14,136.33,130.69,135.58,135.58,294335100.00,75.61,30040.00
17-Jun-24,132.99,133.73,129.58,130.98,130.98,288504400.00,75.61,30040.00
14-Jun-24,129.96,132.84,128.32,131.88,131.88,309320400.00,75.61,30040.00
13-Jun-24,129.39,129.80,127.16,129.61,129.61,260704500.00,75.61,30040.00
12-Jun-24,123.06,126.88,122.57,125.20,125.20,299595000.00,75.61,30040.00
11-Jun-24,121.77,122.87,118.74,120.91,120.91,222551200.00,75.61,30040.00
10-Jun-24,120.37,123.10,117.01,121.79,121.78,314162700.00,75.61,30040.00
7-Jun-24,119.77,121.69,118.02,120.89,120.88,412386000.00,75.61,30040.00
6-Jun-24,124.05,125.59,118.32,121.00,120.99,664696000.00,75.61,30040.00
5-Jun-24,118.37,122.45,117.47,122.44,122.43,528402000.00,75.61,30040.00
4-Jun-24,115.72,116.60,114.04,116.44,116.43,403324000.00,75.61,30040.00
3-Jun-24,113.62,115.00,112.00,115.00,114.99,438392000.00,75.61,30040.00
31-May-24,112.52,112.72,106.94,109.63,109.62,613263000.00,75.61,30040.00
30-May-24,114.65,115.82,109.66,110.50,110.49,487350000.00,75.61,30040.00
29-May-24,113.05,115.49,110.90,114.82,114.82,557442000.00,75.61,30040.00
28-May-24,110.24,114.94,109.88,113.90,113.89,652728000.00,75.61,30040.00
24-May-24,104.45,106.47,103.00,106.47,106.46,429494000.00,75.61,30040.00
23-May-24,102.03,106.32,101.52,103.80,103.79,835065000.00,75.61,30040.00
22-May-24,95.46,96.02,93.25,94.95,94.94,548648000.00,75.61,30040.00
21-May-24,93.60,95.40,93.18,95.39,95.38,328946000.00,75.61,30040.00
20-May-24,93.75,95.20,93.44,94.78,94.77,318764000.00,75.61,30040.00
17-May-24,94.37,94.74,91.81,92.48,92.47,359691000.00,75.61,30040.00
16-May-24,94.91,95.82,94.10,94.36,94.35,323952000.00,75.61,30040.00
15-May-24,92.47,94.86,91.60,94.63,94.62,417735000.00,75.61,30040.00
14-May-24,89.60,91.65,88.93,91.36,91.35,296507000.00,75.61,30040.00
13-May-24,90.48,91.00,88.53,90.40,90.39,289680000.00,75.61,30040.00
10-May-24,90.31,91.40,89.23,89.88,89.87,335325000.00,75.61,30040.00
